央视TV,#genre#
广东卫视,http://111.59.189.40:8445/tsfile/live/0125_1.m3u8
深圳卫视,http://111.59.189.40:8445/tsfile/live/0126_1.m3u8
湖南卫视,http://111.59.189.40:8445/tsfile/live/0128_1.m3u8
湖北卫视,http://111.59.189.40:8445/tsfile/live/0132_1.m3u8
兵团卫视,http://111.59.189.40:8445/tsfile/live/0115_1.m3u8
山西卫视,http://111.59.189.40:8445/tsfile/live/0118_1.m3u8
河北卫视,http://111.59.189.40:8445/tsfile/live/0117_1.m3u8
贵州卫视,http://111.59.189.40:8445/tsfile/live/0120_1.m3u8
辽宁卫视,http://111.59.189.40:8445/tsfile/live/0121_1.m3u8
四川卫视,http://111.59.189.40:8445/tsfile/live/0123_1.m3u8
安徽卫视,http://111.59.189.40:8445/tsfile/live/0130_1.m3u8
山东卫视,http://111.59.189.40:8445/tsfile/live/0131_1.m3u8
天津卫视,http://111.59.189.40:8445/tsfile/live/0135_1.m3u8
陕西卫视,http://111.59.189.40:8445/tsfile/live/0136_1.m3u8
河南卫视,http://111.59.189.40:8445/tsfile/live/0139_1.m3u8
重庆卫视,http://111.59.189.40:8445/tsfile/live/0142_1.m3u8
吉林卫视,http://111.59.189.40:8445/tsfile/live/1014_1.m3u8
江苏卫视,http://117.148.179.175/PLTV/88888888/224/3221231447/index.m3u8
湖北卫视,http://117.148.179.175/PLTV/88888888/224/3221231888/index.m3u8
天津卫视,http://117.148.179.146/PLTV/88888888/224/3221228905/index.m3u8
山东卫视,http://117.148.179.137/PLTV/88888888/224/3221227909/index.m3u8
安徽卫视,http://117.148.179.177/PLTV/88888888/224/3221230215/index.m3u8
四川卫视,http://117.148.179.142/PLTV/88888888/224/3221231885/index.m3u8
河北卫视,http://117.148.179.179/PLTV/88888888/224/3221231411/index.m3u8
青海卫视,http://117.148.179.151/PLTV/88888888/224/3221231435/index.m3u8
河南卫视,http://117.148.179.144/PLTV/88888888/224/3221231514/index.m3u8
陕西卫视,http://117.148.179.156/PLTV/88888888/224/3221231408/index.m3u8
吉林卫视,http://117.148.179.164/PLTV/88888888/224/3221231472/index.m3u8
广西卫视,http://117.148.179.164/PLTV/88888888/224/3221231600/index.m3u8
内蒙古卫视,http://117.148.179.151/PLTV/88888888/224/3221231478/index.m3u8
甘肃卫视,http://117.148.179.158/PLTV/88888888/224/3221231393/index.m3u8
重庆卫视,http://117.148.179.155/PLTV/88888888/224/3221231508/index.m3u8
兵团卫视,http://117.148.179.162/PLTV/88888888/224/3221231469/index.m3u8
厦门卫视,http://117.148.179.134/PLTV/88888888/224/3221229184/index.m3u8
江西卫视,http://39.137.49.76:8080/PLTV/88888888/224/3221225705/index.m3u8?
江苏卫视,http://39.137.49.76:8080/PLTV/88888888/224/3221225702/index.m3u8?
北京卫视,http://39.137.49.76:8080/PLTV/88888888/224/3221225673/index.m3u8?
东方卫视,http://39.137.49.76:8080/PLTV/88888888/224/3221225658/index.m3u8?
浙江卫视,http://39.137.49.76:8080/PLTV/88888888/224/3221225703/index.m3u8?
广东卫视,http://39.137.49.76:8080/PLTV/88888888/224/3221225701/index.m3u8?
深圳卫视,http://39.137.49.76:8080/PLTV/88888888/224/3221225700/index.m3u8?
湖南卫视,http://39.137.49.76:8080/PLTV/88888888/224/3221225704/index.m3u8?
湖北卫视,http://39.137.49.76:8080/PLTV/88888888/224/3221225699/index.m3u8?
东南卫视,http://39.137.49.76:8080/PLTV/88888888/224/3221225657/index.m3u8?
黑龙江卫视,http://39.137.49.76:8080/PLTV/88888888/224/3221225690/index.m3u8?
安徽卫视,http://39.137.49.76:8080/PLTV/88888888/224/3221225691/index.m3u8?
CNC中文,http://39.137.49.76:8080/PLTV/88888888/224/3221225693/index.m3u8?
重庆卫视,http://39.137.49.76:8080/PLTV/88888888/224/3221225692/index.m3u8?
辽宁卫视,http://39.137.49.76:8080/PLTV/88888888/224/3221225696/index.m3u8?
天津卫视,http://39.137.49.76:8080/PLTV/88888888/224/3221225698/index.m3u8?
山东卫视,http://39.137.49.76:8080/PLTV/88888888/224/3221225697/index.m3u8?
贵州卫视,http://39.137.49.76:8080/PLTV/88888888/224/3221225728/index.m3u8?
河北卫视,http://39.137.49.76:8080/PLTV/88888888/224/3221225732/index.m3u8?
广西卫视,http://39.137.49.76:8080/PLTV/88888888/224/3221226211/index.m3u8?
纯享4K,http://39.137.49.76:8080/PLTV/88888888/224/3221225786/index.m3u8?


香港澳门,#genre#
凤凰中文,http://play-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰资讯,http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰中文,http://39.135.55.105:6610/PLTV/88888888/224/3221227222/index.m3u8?servicetype=1
凤凰资讯,http://39.135.55.105:6610/PLTV/88888888/224/3221227226/index.m3u8?servicetype=1
凤凰中文,http://111.59.189.40:8445/tsfile/live/1020_1.m3u8
凤凰资讯,http://111.59.189.40:8445/tsfile/live/1021_1.m3u8
凤凰电影,http://111.59.189.40:8445/tsfile/live/1022_1.m3u8
凤凰资讯,http://183.207.249.35/PLTV/3/224/3221226923/index.m3u8
凤凰香港,http://183.207.249.35/PLTV/3/224/3221226975/index.m3u8
CNC中文,http://39.135.138.58:18890/PLTV/88888888/224/3221225694/1.m3u8
澳门奥视,http://61.244.22.5/ch1/ch1.live/playelist.m3u8
澳门卫视,http://61.244.22.4/ch3/ch3.live/playelist.m3u8#http://61.244.22.5/ch3/ch3.live/chunklist_w1228316132.m3u8
澳门卫星,http://61.244.22.5/ch3/_definst_/ch3.live/playlist.m3u8
澳门资讯,http://61.244.22.5/ch5/_definst_/info_ch5.live/playlist.m3u8#http://61.244.22.5/ch5/info_ch5.live/master.m3u8
