咪咕CCTV,#genre#
CCTV1综合,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv1
CCTV2财经 ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv2
CCTV3综艺,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv3
CCTV4中文国际,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv4
CCTV4美洲,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv4a
CCTV4欧洲,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv4o
CCTV5体育,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv5
CCTV5+体育赛事,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv5p
CCTV6电影,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv6
CCTV7国防军事,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv7
CCTV8电视剧  ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv8
CCTV9纪录,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv9
CCTV10科教  ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv10
CCTV11戏曲  ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv11
CCTV12社会与法,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv12
CCTV13新闻  ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv13
CCTV14少儿  ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv14
CCTV15音乐  ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv15
CCTV17农业农村,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv17
CCTV发现之旅,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=fxzl
CCTV老故事  ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=lgs
CCTV中学生  ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=zxs
CGTN     ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cgtn
CGTN纪录,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cgtnjl
CCTV西班牙语,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cgtne
CCTV法语,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cgtnf
CCTV阿拉伯语,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cgtna
CCTV俄语,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cgtnr

﻿咪咕卫视频道,#genre#

东方卫视x,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=dfws
重庆卫视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cqws
吉林卫视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=jlws
辽宁卫视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=lnws
内蒙古卫视  ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=nmws
宁夏卫视x   ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=nxws
甘肃卫视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=gsws
青海卫视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=qhws
陕西卫视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=sxws
山东卫视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=sdws
河南卫视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=hnws
湖北卫视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=hubws
湖南卫视x   ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=hunws
江西卫视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=jxws
江苏卫视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=jsws
东南卫视x   ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=dnws
海峡卫视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=hxws
广东卫视x   ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=gdws
大湾区卫视  ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=dwqws
广西卫视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=gxws
云南卫视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=ynws
贵州卫视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=gzws
新疆卫视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=xjws
西藏卫视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=xzws
海南卫视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=hinws
东方影视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=dfys
上海新闻综合,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=shxwzh
上海第一财,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=dycj
上视纪实人文,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=shjsrw
上海外语,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=shics
法治天地,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=fztd
劲爆体育,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=jbty
魅力足球,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=mlzq

V6,#genre#
需要V6网络观看,https://yyrj.fun/gzh.mp4
CCTV1,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000311
CCTV2,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000317
CCTV3,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000359
CCTV3 HEVC,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000371
CCTV4,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000320
CCTV4欧洲,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000350
CCTV4美洲,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000351
CCTV5,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000360
CCTV5 HEVC,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000372
CCTV5+,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000316
CCTV6,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000361
