🌏｜央视频道,#genre#
CCTV12,http://221.0.78.198:1681/hls/10212/index.m3u8
CCTV13,http://221.0.78.198:1681/hls/10213/index.m3u8
CCTV14,http://221.0.78.198:1681/hls/10214/index.m3u8
CCTV15,http://221.0.78.198:1681/hls/10215/index.m3u8
CCTV17,http://221.0.78.198:1681/hls/10289/index.m3u8
CGTN,http://221.0.78.198:1681/hls/10216/index.m3u8

CCTV1,https://cntv.sbs/live?auth=2307280808&id=cctv1
CCTV2,https://cntv.sbs/live?auth=2307280808&id=cctv2
CCTV3,https://cntv.sbs/live?auth=2307280808&id=cctv3
CCTV4,https://cntv.sbs/live?auth=2307280808&id=cctv4
CCTV5,https://cntv.sbs/live?auth=2307280808&id=cctv5
CCTV5+,https://cntv.sbs/live?auth=2307280808&id=cctv5p
CCTV6,https://cntv.sbs/live?auth=2307280808&id=cctv6
CCTV7,https://cntv.sbs/live?auth=2307280808&id=cctv7
CCTV8,https://cntv.sbs/live?auth=2307280808&id=cctv8
CCTV9,https://cntv.sbs/live?auth=2307280808&id=cctv9
CCTV10,https://cntv.sbs/live?auth=2307280808&id=cctv10
CCTV11,https://cntv.sbs/live?auth=2307280808&id=cctv11
CCTV12,https://cntv.sbs/live?auth=2307280808&id=cctv12
CCTV13,https://cntv.sbs/live?auth=2307280808&id=cctv13
CCTV14,https://cntv.sbs/live?auth=2307280808&id=cctv14
CCTV15,https://cntv.sbs/live?auth=2307280808&id=cctv15
CCTV16,https://cntv.sbs/live?auth=2307280808&id=cctv16
CETV1,https://cntv.sbs/live?auth=2307280808&id=cetv1
CETV2,https://cntv.sbs/live?auth=2307280808&id=cetv2
CETV4,https://cntv.sbs/live?auth=2307280808&id=cetv4
CGTN,https://cntv.sbs/live?auth=2307280808&id=cgtn
CCTV17,https://cntv.sbs/live?auth=2307280808&id=cctv17
CCTV4K,https://cntv.sbs/live?auth=2307280808&id=cctv4k
CCTV-16 4K,https://cntv.sbs/live?auth=2307280808&id=cctv164k

CCTV1,https://live.goodiptv.club/api/bestv.php?id=cctv1hd8m/8000000
CCTV2,https://live.goodiptv.club/api/bestv.php?id=cctv2hd8m/8000000
CCTV3,https://live.goodiptv.club/api/bestv.php?id=cctv38m/8000000
CCTV4,https://live.goodiptv.club/api/bestv.php?id=cctv4hd8m/8000000
CCTV5,https://live.goodiptv.club/api/bestv.php?id=cctv58m/8000000
CCTV5+,https://live.goodiptv.club/api/bestv.php?id=cctv5phd8m/8000000
CCTV6,https://live.goodiptv.club/api/bestv.php?id=cctv6hd8m/8000000
CCTV7,https://live.goodiptv.club/api/bestv.php?id=cctv7hd8m/8000000
CCTV8,https://live.goodiptv.club/api/bestv.php?id=cctv8hd8m/8000000
CCTV9,https://live.goodiptv.club/api/bestv.php?id=cctv9hd8m/8000000
CCTV10,https://live.goodiptv.club/api/bestv.php?id=cctv10hd8m/8000000
CCTV11,https://live.goodiptv.club/api/bestv.php?id=cctv11hd8m/8000000
CCTV12,https://live.goodiptv.club/api/bestv.php?id=cctv12hd8m/8000000
CCTV13,https://live.goodiptv.club/api/bestv.php?id=cctv13xwhd8m/8000000
CCTV14,https://live.goodiptv.club/api/bestv.php?id=cctvsehd8m/8000000
CCTV15,https://live.goodiptv.club/api/bestv.php?id=cctv15hd8m/8000000
CCTV16,https://live.goodiptv.club/api/bestv.php?id=cctv16hd8m/8000000
CCTV16-4K,https://live.goodiptv.club/api/bestv.php?id=cctv16hd4k/15000000
CCTV-4K,https://live.goodiptv.club/api/bestv.php?id=cctv4k/15000000
CCTV17,https://live.goodiptv.club/api/bestv.php?id=cctv17hd8m/8000000
