🌏｜央卫频道,#genre#
浙江卫视,http://43.156.8.127:5050/ysp?id=2024054703&pid=600002520&q=fhd
湖南卫视,http://43.156.8.127:5050/ysp?id=2024054803&pid=600002475&q=fhd
湖北卫视,http://43.156.8.127:5050/ysp?id=2024171203&pid=600002508&q=fhd
广东卫视,http://43.156.8.127:5050/ysp?id=2024060903&pid=600002485&q=fhd
广西卫视,http://43.156.8.127:5050/ysp?id=2024060703&pid=600002509&q=fhd
黑龙江卫视,http://43.156.8.127:5050/ysp?id=2029797003&pid=600002498&q=fhd
海南卫视,http://43.156.8.127:5050/ysp?id=2024055603&pid=600002506&q=fhd
重庆卫视,http://43.156.8.127:5050/ysp?id=2024061103&pid=600002531&q=fhd
中国教育1台,http://43.156.8.127:5050/ysp?id=2022823801&pid=600171827&q=fhd
深圳卫视,http://43.156.8.127:5050/ysp?id=2024061303&pid=600002481&q=fhd
四川卫视,http://43.156.8.127:5050/ysp?id=2024061403&pid=600002516&q=fhd
河南卫视,http://43.156.8.127:5050/ysp?id=2029797303&pid=600002525&q=fhd
东南卫视,http://43.156.8.127:5050/ysp?id=2024061503&pid=600002484&q=fhd
贵州卫视,http://43.156.8.127:5050/ysp?id=2024061603&pid=600002490&q=fhd
江西卫视,http://43.156.8.127:5050/ysp?id=2024061703&pid=600002503&q=fhd
辽宁卫视,http://43.156.8.127:5050/ysp?id=2024171303&pid=600002505&q=fhd
安徽卫视,http://43.156.8.127:5050/ysp?id=2024171403&pid=600002532&q=fhd
河北卫视,http://43.156.8.127:5050/ysp?id=2024171503&pid=600002493&q=fhd
山东卫视,http://43.156.8.127:5050/ysp?id=2029787903&pid=600002513&q=fhd
天津卫视,http://43.156.8.127:5050/ysp?id=2019927003&pid=600152137&q=fhd
陕西卫视,http://43.156.8.127:5050/ysp?id=2029795103&pid=600190400&q=fhd
内蒙古卫视,http://43.156.8.127:5050/ysp?id=2025561203&pid=600190401&q=fhd
甘肃卫视,http://43.156.8.127:5050/ysp?id=2025561703&pid=600190408&q=fhd
宁夏卫视,http://43.156.8.127:5050/ysp?id=2025608503&pid=600190737&q=fhd
山西卫视,http://43.156.8.127:5050/ysp?id=2025560803&pid=600190407&q=fhd
云南卫视,http://43.156.8.127:5050/ysp?id=2025561303&pid=600190402&q=fhd
吉林卫视,http://43.156.8.127:5050/ysp?id=2025561503&pid=600190405&q=fhd
青海卫视,http://43.156.8.127:5050/ysp?id=2025559103&pid=600190406&q=fhd
🌏｜咪咕频道,#genre#
CCTV1,http://120.24.195.228:3000/608807420
CCTV2,http://120.24.195.228:3000/631780532
CCTV3,http://120.24.195.228:3000/624878271
CCTV4,http://120.24.195.228:3000/631780421
CCTV5,http://120.24.195.228:3000/641886683
CCTV5+,http://120.24.195.228:3000/641886773
CCTV6,http://120.24.195.228:3000/624878396
CCTV7,http://120.24.195.228:3000/673168121
CCTV8,http://120.24.195.228:3000/624878356
CCTV9,http://120.24.195.228:3000/673168140
CCTV10,http://120.24.195.228:3000/624878405
CCTV11,http://120.24.195.228:3000/667987558
CCTV12,http://120.24.195.228:3000/673168185
CCTV13,http://120.24.195.228:3000/608807423
CCTV14,http://120.24.195.228:3000/624878440
CCTV15,http://120.24.195.228:3000/673168223
CCTV17,http://120.24.195.228:3000/673168256
CCTV4欧洲,http://120.24.195.228:3000/608807419
CCTV4美洲,http://120.24.195.228:3000/608807416
CGTN纪录,http://120.24.195.228:3000/609006487
CGTN阿拉伯语,http://120.24.195.228:3000/609154345
CGTN西班牙语,http://120.24.195.228:3000/609006450
CGTN法语,http://120.24.195.228:3000/609006476
CGTN俄语,http://120.24.195.228:3000/609006446
CGTN,http://120.24.195.228:3000/609017205
东方卫视,http://120.24.195.228:3000/651632648
江苏卫视,http://120.24.195.228:3000/623899368
广东卫视,http://120.24.195.228:3000/608831231
北京卫视,http://120.24.195.228:3000/630287636
辽宁卫视,http://120.24.195.228:3000/630291707
河北卫视,http://120.24.195.228:3000/962042070
江西卫视,http://120.24.195.228:3000/783847495
河南卫视,http://120.24.195.228:3000/790187291
陕西卫视,http://120.24.195.228:3000/738910838
湾区卫视,http://120.24.195.228:3000/608917627
湖北卫视,http://120.24.195.228:3000/947472496
吉林卫视,http://120.24.195.228:3000/947472500
青海卫视,http://120.24.195.228:3000/947472506
东南卫视,http://120.24.195.228:3000/849116810
海南卫视,http://120.24.195.228:3000/947472502
海峡卫视,http://120.24.195.228:3000/849119120
中国农林卫视,http://120.24.195.228:3000/956904896
兵团卫视,http://120.24.195.228:3000/956923145
宁夏卫视,http://120.24.195.228:3000/738910535
重庆卫视,http://120.24.195.228:3000/738910914
三沙卫视,http://120.24.195.228:3000/961023778

🌏｜网页TV,#genre#
CCTV1,video://https://www.hndyjyfw.gov.cn/livePlay.html?u=1
CCTV2,video://https://vod.cctv.cn/cctv/cctvh5/cctv2/2023/05/cctv2_share/index.html?appkey=0-caijing
CCTV3,video://https://www.hndyjyfw.gov.cn/livePlay.html?u=2
CCTV5,video://https://www.hndyjyfw.gov.cn/livePlay.html?u=3
CCTV6,video://https://m.1905.com/m/cctv6/gzh/?jmd
CCTV6,video://https://www.hndyjyfw.gov.cn/livePlay.html?u=4
CCTV7,video://https://www.hndyjyfw.gov.cn/livePlay.html?u=5
CCTV9,video://https://www.hndyjyfw.gov.cn/livePlay.html?u=6
CCTV10,video://https://www.hndyjyfw.gov.cn/livePlay.html?u=7
CCTV11,video://https://www.hndyjyfw.gov.cn/livePlay.html?u=8
